-0.00314143,420.004,445.003,179.805,-1.65579,-92.8412
-0.00667987,420.007,445.005,179.805,-1.65579,-92.8412
-0.00897828,420.014,445.009,179.808,-1.66609,-92.8486
-0.0145605,420.021,445.011,179.818,-1.67048,-92.8517
-0.0192493,420.025,445.008,179.827,-1.69509,-92.8571
-0.0229849,420.028,445.008,179.825,-1.69792,-92.8615
-0.0267205,420.03,445.008,179.825,-1.69792,-92.8615
-0.0300826,420.033,445.008,179.825,-1.69913,-92.8633
-0.029755,420.032,445.009,179.824,-1.6922,-92.8665
-0.0295226,420.031,445.007,179.815,-1.68498,-92.8678
-0.0309728,420.033,445.004,179.808,-1.68163,-92.8701
-0.032423,420.034,445.001,179.808,-1.68163,-92.8701
-0.0336674,420.038,444.993,179.81,-1.68702,-92.872
-0.0333363,420.04,444.98,179.811,-1.68932,-92.8728
-0.0346442,420.044,444.97,179.813,-1.69325,-92.8742
-0.0359521,420.047,444.961,179.813,-1.69325,-92.8742
-0.0368306,420.053,444.954,179.813,-1.69492,-92.8748
-0.0370296,420.059,444.952,179.815,-1.69779,-92.8758
-0.0339895,420.064,444.949,179.816,-1.70011,-92.8766
-0.0347673,420.069,444.943,179.816,-1.7011,-92.8769
-0.035545,420.074,444.937,179.816,-1.7011,-92.8769
-0.0344816,420.08,444.926,179.817,-1.70279,-92.8775
-0.0305601,420.083,444.907,179.817,-1.70351,-92.8777
-0.0282228,420.085,444.868,179.801,-1.68764,-92.8782
-0.0258856,420.087,444.829,179.801,-1.68764,-92.8782
-0.0218666,420.086,444.77,179.787,-1.67479,-92.8785
-0.0206122,420.082,444.706,179.781,-1.66931,-92.8787
-0.0212852,420.081,444.651,179.772,-1.65994,-92.8789
-0.0219541,420.08,444.599,179.768,-1.65595,-92.879
-0.022623,420.079,444.547,179.768,-1.65595,-92.879
-0.0244714,420.082,444.507,179.76,-1.64912,-92.8792
-0.0286006,420.089,444.481,179.755,-1.66069,-92.8704
-0.0370448,420.1,444.461,179.752,-1.66562,-92.8623
-0.0535457,420.11,444.443,179.748,-1.67405,-92.8486
-0.0700466,420.12,444.426,179.748,-1.67405,-92.8486
-0.0848974,420.129,444.41,179.746,-1.67764,-92.8427
-0.096476,420.138,444.407,179.743,-1.66669,-92.8237
-0.106834,420.145,444.406,179.742,-1.66202,-92.8113
-0.117191,420.153,444.405,179.742,-1.66202,-92.8113
-0.127158,420.161,444.405,179.74,-1.65404,-92.7902
-0.144024,420.177,444.415,179.738,-1.64757,-92.773
-0.172122,420.201,444.429,179.737,-1.64481,-92.7567
-0.214635,420.235,444.453,179.736,-1.623,-92.7289
-0.257148,420.269,444.478,179.736,-1.623,-92.7289
-0.322879,420.311,444.517,179.735,-1.60533,-92.7063
-0.39954,420.361,444.568,179.743,-1.5978,-92.6967
-0.501881,420.439,444.648,179.758,-1.58492,-92.6802
-0.604222,420.517,444.727,179.758,-1.58492,-92.6802
-0.721581,420.609,444.818,179.764,-1.57042,-92.6732
-0.866563,420.727,444.924,179.766,-1.54564,-92.6612
-1.0326,420.864,445.031,179.759,-1.50847,-92.6514
-1.20303,421.002,445.136,179.756,-1.49262,-92.6473
-1.37346,421.141,445.241,179.756,-1.49262,-92.6473
-1.53916,421.287,445.357,179.734,-1.43943,-92.6231
-1.70368,421.433,445.485,179.716,-1.40348,-92.6038
-1.86976,421.578,445.633,179.641,-1.29882,-92.5447
-2.03584,421.724,445.782,179.641,-1.29882,-92.5447
-2.18749,421.855,445.938,179.52,-1.16275,-92.4455
-2.32705,421.971,446.097,179.442,-1.08247,-92.3899
-2.44131,422.062,446.252,179.256,-0.902001,-92.2428
-2.54534,422.143,446.411,179.151,-0.793801,-92.1535
-2.64937,422.224,446.57,179.151,-0.793801,-92.1535
-2.73433,422.285,446.74,178.892,-0.547579,-91.9396
-2.80598,422.337,446.942,178.544,-0.228439,-91.6548
-2.87785,422.388,447.156,178.339,-0.052595,-91.4893
-2.96613,422.45,447.382,177.901,0.300298,-91.1541
-3.0544,422.512,447.609,177.901,0.300298,-91.1541
-3.15607,422.585,447.837,177.697,0.477268,-91.0027
-3.27318,422.675,448.042,177.331,0.832087,-90.7177
-3.3798,422.76,448.212,177.025,1.16179,-90.4697
-3.48641,422.846,448.381,177.025,1.16179,-90.4697
-3.58532,422.928,448.538,176.882,1.31561,-90.3508
-3.68716,423.011,448.673,176.584,1.63985,-90.1293
-3.7885,423.094,448.799,176.422,1.81786,-90.0084
-3.90804,423.187,448.928,176.075,2.22667,-89.7665
-4.02757,423.28,449.057,176.075,2.22667,-89.7665
-4.18275,423.371,449.194,175.734,2.7027,-89.5283
-4.36455,423.448,449.336,175.567,2.94543,-89.4224
-4.5991,423.47,449.49,175.272,3.4388,-89.2415
-4.83365,423.492,449.645,175.272,3.4388,-89.2415
-5.08466,423.488,449.814,175.132,3.69792,-89.1643
-5.36396,423.427,450.031,174.85,4.21931,-89.0234
-5.69949,423.3,450.322,174.51,4.76134,-88.8661
-6.07981,423.131,450.642,174.303,5.03221,-88.7725
-6.46013,422.961,450.963,174.303,5.03221,-88.7725
-6.92004,422.723,451.342,173.784,5.57369,-88.5251
-7.43346,422.45,451.742,173.46,5.84432,-88.3666
-8.06104,422.097,452.176,172.69,6.3764,-88.0172
-8.68863,421.743,452.609,172.69,6.3764,-88.0172
-9.39041,421.327,453.054,171.81,6.89288,-87.6146
-10.1165,420.884,453.501,171.351,7.1306,-87.4121
-10.8833,420.388,453.935,170.444,7.58028,-87.0308
-11.663,419.866,454.352,170.005,7.77625,-86.8507
-12.4428,419.344,454.769,170.005,7.77625,-86.8507
-13.2562,418.752,455.149,169.132,8.11947,-86.5077
-14.1062,418.075,455.497,168.236,8.36327,-86.1704
-14.9793,417.35,455.846,167.765,8.43594,-86.0134
-15.9093,416.542,456.201,166.795,8.49901,-85.7358
-16.8393,415.735,456.557,166.795,8.49901,-85.7358
-17.7819,414.91,456.925,166.297,8.49511,-85.5953
-18.7386,414.057,457.336,165.29,8.42724,-85.3027
-19.7152,413.162,457.802,164.312,8.26966,-85.0234
-20.6919,412.268,458.268,164.312,8.26966,-85.0234
-21.679,411.344,458.753,163.838,8.1537,-84.882
-22.6549,410.371,459.318,162.897,7.86,-84.6142
-23.6151,409.372,459.89,162.438,7.677,-84.4958
-24.549,408.292,460.473,161.566,7.22457,-84.2933
-25.4829,407.213,461.056,161.566,7.22457,-84.2933
-26.3582,406.046,461.664,160.759,6.6619,-84.1464
-27.1836,404.852,462.299,160.379,6.34671,-84.0837
-27.8986,403.603,462.972,159.66,5.66913,-83.9595
-28.6136,402.353,463.645,159.66,5.66913,-83.9595
-29.2749,401.08,464.343,159.327,5.32722,-83.9066
-29.8114,399.754,465.083,158.731,4.60305,-83.816
-30.2354,398.387,465.87,158.215,3.81937,-83.7598
-30.6013,396.995,466.665,157.972,3.40143,-83.7448
-30.9672,395.602,467.46,157.972,3.40143,-83.7448
-31.2156,394.195,468.299,157.532,2.54726,-83.7192
-31.3978,392.784,469.149,157.339,2.11253,-83.7173
-31.4607,391.373,470.003,157.046,1.23865,-83.7401
-31.5236,389.962,470.857,157.046,1.23865,-83.7401
-31.4563,388.594,471.693,156.877,0.376909,-83.7928
-31.3223,387.237,472.499,156.822,-0.0657821,-83.8375
-31.0991,385.907,473.262,156.816,-0.945183,-83.9752
-30.8291,384.588,473.999,156.875,-1.39967,-84.0737
-30.5592,383.269,474.736,156.875,-1.39967,-84.0737
-30.1929,381.976,475.445,157.142,-2.36853,-84.3375
-29.7228,380.727,476.12,157.65,-3.45301,-84.7149
-29.202,379.503,476.772,157.995,-4.03471,-84.9374
-28.5957,378.346,477.373,158.854,-5.21121,-85.3962
-27.9894,377.189,477.975,158.854,-5.21121,-85.3962
-27.3519,376.073,478.545,159.331,-5.77909,-85.6406
-26.669,375.038,479.04,160.32,-6.88066,-86.1278
-25.9716,374.08,479.463,161.335,-7.93494,-86.6079
-25.2742,373.123,479.886,161.335,-7.93494,-86.6079
